Model,AP_S (Area<32²),AR_S (Area<32²),mAP (0.5:0.95),AP_50,AP_75,Params (M),GFLOPs,Latency (ms),FPS
best,0.1353,0.2584,0.5807,0.9078,0.7014,2.57,6.48,11.44,87.39
best,0.1524,0.2805,0.5616,0.924,0.697,2.57,6.48,13.18,75.89
best,0.1036,0.2406,0.5392,0.8971,0.6656,1.63,4.3,7.68,130.28
