Model,AP_S (Area<32²),AR_S (Area<32²),mAP (0.5:0.95),AP_50,AP_75,Params (M),GFLOPs,Latency (ms),FPS
yolo12_ema,0.1121,0.1668,0.7051,0.9364,0.8169,0.0,0.0,5.09,196.64
yolo12_ghost+nwd--,0.1521,0.2191,0.7319,0.9452,0.834,0.0,0.0,3.79,263.57
