Model,AP_S (Area<32²),AR_S (Area<32²),mAP (0.5:0.95),AP_50,AP_75,Params (M),GFLOPs,Latency (ms),FPS
yolo12_n2,0.1766,0.264,0.7628,0.9507,0.8533,2.57,6.48,8.1,123.45
yolo12_nwd,0.1906,0.2849,0.7638,0.9525,0.8605,2.57,6.48,8.08,123.82
yolo12_ema,0.1121,0.1668,0.7051,0.9364,0.8169,2.0,5.72,5.35,186.96
yolo12_ghost+nwd--,0.1521,0.2191,0.7319,0.9452,0.834,2.88,7.17,3.85,259.75
