Model,AP_S (Area<32²),AR_S (Area<32²),mAP (0.5:0.95),AP_50,AP_75,Params (M),GFLOPs,Latency (ms),FPS
best,0.1214,0.2123,0.5503,0.9089,0.6849,2.0,5.72,7.32,136.53
best,0.1226,0.2523,0.554,0.905,0.7013,2.88,7.17,5.36,186.68
